shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
119_Ankatso,-18.914982,47.549432,1
119_Ankatso,-18.916885,47.547267,2
119_Ankatso,-18.917238,47.545947,3
119_Ankatso,-18.917243,47.542876,4
119_Ankatso,-18.91652,47.541181,5
119_Ankatso,-18.915292,47.539078,6
119_Ankatso,-18.911978,47.536554,7
119_Ankatso,-18.913922,47.533714,8
119_Ankatso,-18.911164,47.528974,9
119_Ankatso,-18.917994,47.522038,10
119_Ankatso,-18.916266,47.519498,11
119_Ankatso,-18.914406,47.518667,12
119_Ankatso,-18.912447,47.517988,13
119_Ankatso,-18.916385,47.513106,14
119_Ankatso,-18.916388,47.509807,15
119_Ankatso,-18.913478,47.508826,16
119_Ankatso,-18.912557,47.508903,17
119_Ankatso,-18.910613,47.508214,18
119_Ankatso,-18.904845,47.506385,19
119_Ankatso,-18.910433,47.505854,20
119_Ankatso,-18.905079,47.508938,21
119_67ha,-18.905079,47.508938,1
119_67ha,-18.908885,47.508863,2
119_67ha,-18.915827,47.508198,3
119_67ha,-18.91653,47.510422,4
119_67ha,-18.915579,47.514295,5
119_67ha,-18.912876,47.517658,6
119_67ha,-18.915231,47.518487,7
119_67ha,-18.917928,47.524034,8
119_67ha,-18.911625,47.528384,9
119_67ha,-18.913574,47.535143,10
119_67ha,-18.913873,47.537541,11
119_67ha,-18.916441,47.540717,12
119_67ha,-18.917319,47.542734,13
119_67ha,-18.917573,47.543743,14
119_67ha,-18.917355,47.545824,15
119_67ha,-18.916954,47.547358,16
119_67ha,-18.914982,47.549432,17
128_Ankatso_Ambohijatovo,-18.914731,47.549499,1
128_Ankatso_Ambohijatovo,-18.916885,47.547267,2
128_Ankatso_Ambohijatovo,-18.917238,47.545947,3
128_Ankatso_Ambohijatovo,-18.917243,47.542876,4
128_Ankatso_Ambohijatovo,-18.91652,47.541181,5
128_Ankatso_Ambohijatovo,-18.915292,47.539078,6
128_Ankatso_Ambohijatovo,-18.911978,47.536554,7
128_Ankatso_Ambohijatovo,-18.913922,47.533714,8
128_Ankatso_Ambohijatovo,-18.911164,47.528974,9
128_Ankatso_Ambohijatovo,-18.918725,47.52431,10
128_Mahamasina_Ambohijatovo,-18.918725,47.52431,1
128_Mahamasina_Ambohijatovo,-18.911625,47.528384,2
128_Mahamasina_Ambohijatovo,-18.913574,47.535143,3
128_Mahamasina_Ambohijatovo,-18.913873,47.537541,4
128_Mahamasina_Ambohijatovo,-18.916441,47.540717,5
128_Mahamasina_Ambohijatovo,-18.917319,47.542734,6
